Aircraft,Company,Photo,Origin,Type,Versions,In Service,Airport,Manned,BVR kill chain,Associated products,country
S-111 BVR Seeker,Agat,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,Russia,BVR Missile Seeker,S-111,0,,No,Active radar homing seeker for R-77M integration on Su-57; terminal guidance for high-Pk kills. F2T2EA: Seeker for Engage R-77M; Active homing; Targets terminal; Assess integrated.,"R-77M hypersonic BVR missile, N036 Byelka AESA, KRET seekers",rus
L402 Himalayas EW Suite,KNIRTI,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,Russia,Electronic Warfare Suite,L402 Himalayas,0,,No,Integrated EW system for Su-57 with jamming and deception; protects during BVR engagements. F2T2EA: EW Track protection Su-57; Fixes threats; Targets homing heads; Engage supported; Assess Himalayas.,"N036 Byelka AESA, R-37M hypersonic BVR missile, S-111 BVR seeker",rus
Mikoyan Skat UCAV,Mikoyan,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Skat_sketch.svg/1280px-Skat_sketch.svg.png,Russia,Unmanned Combat Aerial Vehicle,Skat,0,N/A (Development),No,Low-observable UCAV follow-on for Su-35 integration; internal BVR bay for autonomous strikes. F2T2EA: Low-obs Find bay; Tracks Su-35; Targets BVR missiles; Engage integrated; Assess follow-on.,"Su-35S, R-37M hypersonic BVR missile, L402 Himalayas EW suite",rus
Sukhoi S-70 Okhotnik-B,Sukhoi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/S-70_taxiing_rear_view.png/1280px-S-70_taxiing_rear_view.png,Russia,Stealth Unmanned Combat Aerial Vehicle,S-70,0,N/A (Development),No,Stealth UCAV with internal bay for R-77M; datalink to Su-57 for loyal wingman roles. F2T2EA: Stealth Find bay; Tracks to Su-57; Targets R-77M; Engage datalink; Assess UCAV integration.,"Su-57, R-77M hypersonic BVR missile, N036 Byelka AESA",rus
R-37M Hypersonic BVR Missile,Vympel,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Vympel_R37.svg/1280px-Vympel_R37.svg.png,Russia,Hypersonic BVR Missile,R-37M,0,,No,Very long-range hypersonic missile for MiG-31/Su-35; 400 km envelope against high-value targets. F2T2EA: Very long Engage hypersonic; Post-Find by AWACS; Targets bombers; Assess M speed.,"S-70 Okhotnik-B stealth UCAV, N036 Byelka AESA, RVV-AE-PD",rus
R-77M Hypersonic BVR Missile,Vympel,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Adder_Missile.svg/1280px-Adder_Missile.svg.png,Russia,Hypersonic BVR Missile,R-77M,0,,No,Medium-range hypersonic missile for Su-57 internal carriage; active seekers for contested BVR. F2T2EA: Hypersonic Engage after Byelka Track; Active seekers; Targets Su-57; Assess M variant.,"N036 Byelka AESA, Su-57, R-37M hypersonic BVR missile",rus
RVV-AE-PD,Vympel,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/RVV-AE-PD_sketch.svg/1280px-RVV-AE-PD_sketch.svg.png,Russia,Maneuverable BVR Missile,RVV-AE-PD,0,,No,PD variant for high-maneuverability engagements; datalink for export Su-30/35. F2T2EA: PD variant Engage maneuverable; Tracks datalink; Targets export; Assess Russian.,"R-77M hypersonic BVR missile, S-111 BVR seeker, L402 Himalayas EW suite",rus
Eurofighter Typhoon,Eurofighter,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/RAF_Eurofighter_EF-2000_Typhoon_F2_Lofting-1.jpg/960px-RAF_Eurofighter_EF-2000_Typhoon_F2_Lofting-1.jpg,Spain,Multirole Fighter,T1/T2/T3A,69,"Morón Air Base, Albacete Air Base, Torrejón Air Base",Yes,"Tranche 1/2/3A backbone with CAPTOR/CAPTOR-E AESA (150-250 km range), thrust-vectoring, and 4-6 Meteor/AIM-120C-7 mixed loads for high-volume BVR; OFP-02/P2E/P3E upgrades (2025 IOC) add AI and drone integration; mid-life extensions to 2030 for volume filler; 17 T1 +32 T2 +20 T3A across 4 squadrons (e.g., Ala 11/14 at Morón/Torrejón), core for NATO QRA with 130-140 km effective envelope via shared E-3A cueing. F2T2EA: CAPTOR-E Find/Fix; Tracks Link-16; Targets Meteor; Engage high-volume; Assess AI.","CAPTOR-E AESA radar, Meteor long-range BVR missile, Ground Master 400 radars",spa
McDonnell Douglas F/A-18 Hornet,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Riding_the_Plasma_Wave_-_Flickr_-_NASA_Goddard_Photo_and_Video.jpg/1280px-Riding_the_Plasma_Wave_-_Flickr_-_NASA_Goddard_Photo_and_Video.jpg,United States,Multirole Fighter,EF-18A+/B+,81,"Torrejón Air Base, Zaragoza Air Base, Gando Air Base",Yes,"Upgraded single/two-seat with AN/APG-65(V)2 radar (120 km), 4-8 AIM-120C-7 loads, and ALQ-165 EW; post-2024 crash fleet at 69 fighters +12 trainers; Ala 15 at Zaragoza, excels in maritime BVR with NATO datalinks for 140 km envelope, bridging to Eurofighter full IOC by 2030. F2T2EA: AN/APG-65 Find/Fix; Tracks ALQ-165; Targets AIM-120C-7; Engage maritime; Assess datalinks.","AN/APG-65(V)2 radar, AIM-120C-7 AMRAAM, ALQ-165 EW",spa
Airbus A400M Atlas,Airbus Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/EC-402_-_A400M_-_Airbus_industrie_-_TLS_-_En_finale_sur_32L_-_04550-2.jpg/1280px-EC-402_-_A400M_-_Airbus_industrie_-_TLS_-_En_finale_sur_32L_-_04550-2.jpg,Spain,Tactical Airlifter / Refueling,T.23,14,Zaragoza Air Base,Yes,"Multirole with underwing pods for probe refueling, extending BVR sorties by 2+ hours; 13 more on order (delivery 2026+); GR.31 at Zaragoza, enables rapid deployment for surge ops in NATO exercises. F2T2EA: Refueling extends Track/Engage; Deploys surge; Targets basing; Assess probe.","Underwing refueling pods, Eurofighter Typhoon, F/A-18 Hornet",spa
Airbus A330 MRTT,Airbus Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/KC-30A_RAAF_YBBN_20111106.jpg/1280px-KC-30A_RAAF_YBBN_20111106.jpg,Spain,Aerial Refueling / Transport,TK.24,2,Torrejón Air Base,Yes,"MRTT with boom/probe for sustained Typhoon/F-18 BVR patrols; second unit IOC Oct 2025, +1 conversion from ex-Iberia A330; enhances power projection in Indo-Pacific/Med ops via E-7 interoperability. F2T2EA: Refueling sustained Engage; Extends patrols; Targets projection; Assess boom/probe.","Boom/probe refueling, Eurofighter Typhoon, F/A-18 Hornet",spa
Dassault Falcon 20,Dassault Aviation,https://upload.wikimedia.org/wikipedia/commons/c/c6/Dassault_Falcon_50%2C_France_-_Air_Force_JP6283064.jpg,France,Electronic Warfare,20E,1,Torrejón Air Base,Yes,"Dedicated EW platform with jamming pods to suppress enemy radars, enabling BVR """"permission to shoot""""; single unit at Torrejón, upgrades in 2025 for GPS-denied support to fighter salvos. F2T2EA: Jamming Track protection; Fixes threats passively; Targets suppression; Engage supported; Assess EW.","Jamming pods, Eurofighter Typhoon, F/A-18 Hornet",spa
Dassault Rafale F4,Dassault Aviation,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Dassault_Rafale_4_%2828845932018%29.jpg/1280px-Dassault_Rafale_4_%2828845932018%29.jpg,France,Multirole Fighter,Rafale F4,0,Not yet stationed,Yes,"Twin-engine 4.5-gen with RBE2-AA AESA radar (200+ km detection), 4-6 internal/external Meteor/MICA-NG loads, and SPECTRA EW for fire-and-forget BVR; F4 upgrades add AI targeting and drone integration; potential for Spanish FCAS integration. F2T2EA: RBE2-AA Find/Fix; SPECTRA Track protection; Targets via datalink; Engage Meteor/MICA; Assess post-strike.","Meteor long-range BVR missile, RBE2-AA AESA radar, M88 engine",spa
Remote Carrier CCA family,Airbus Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/FCAS_remote_carriers_mock-up_at_Paris_Air_Show_2019_%28cropped%29_JFS-M.jpg/1280px-FCAS_remote_carriers_mock-up_at_Paris_Air_Show_2019_%28cropped%29_JFS-M.jpg,Spain,Collaborative Combat Aircraft,Remote Carrier family,0,Huelva (developmental test site),No,FCAS swarm drones for sensor extension and loyal wingman roles; development ongoing with demonstrator flight expected 2028-2029; integrates with Rafale F5 and NGF via combat cloud for networked BVR. F2T2EA: Family for swarm Find; Tracks networked to Rafale; Targets FC/ASW; Engage Meteor internal; Assess AI autonomy.,"Rafale F4, Meteor long-range BVR missile, RBE2-AA AESA radar",spa
F-35A Lightning II,Lockheed Martin,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/First_F-35_headed_for_USAF_service.jpg/1280px-First_F-35_headed_for_USAF_service.jpg,United States,Multirole Stealth Fighter,F-35A,72,"RAAF Base Williamtown, RAAF Base Tindal",Yes,"CTOL 5th-gen with AN/APG-81 AESA radar (200+ km detection), sensor fusion, and internal 4-6 AIM-120D missiles for stealthy BVR; DAS/EOTS and MADL/Link-16 enable cooperative kills with E-7A cueing to 160 km envelope; 72 operational across 3 squadrons (RAAF Amberley, Tindal), with 72 more on order toward 100 total by 2030. F2T2EA: AN/APG-81 Find/Fix fusion; Tracks network; Targets AIM-120D; Engage 5th gen; Assess sensor fusion.","AN/APG-81 AESA radar, AIM-120D AMRAAM, E-7A Wedgetail, DAS/EOTS",aus
F/A-18F Super Hornet,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/F-18E_Strike_Fighter_Squadron_115_%28VFA-115%29_flight_ops_CVN-72_2002-10-04.jpg/1280px-F-18E_Strike_Fighter_Squadron_115_%28VFA-115%29_flight_ops_CVN-72_2002-10-04.jpg,United States,Multirole Fighter,F/A-18F,24,RAAF Base Amberley,Yes,"Block III with AN/APG-79 AESA (220 km range), IRST21, and 10+ AIM-120D loads for high-volume BVR; integrates with Growler for SEAD-enabled salvos; No. 1/6 Squadrons at Amberley, bridging to F-35A full-rate; key for Indo-Pacific ops. F2T2EA: AN/APG-79 Find/Fix; Tracks IRST; Targets AIM-120D; Engage high-volume; Assess SEAD.","AN/APG-79 AESA, AIM-120D AMRAAM, IRST21, EA-18G Growler",aus
EA-18G Growler,Boeing,https://upload.wikimedia.org/wikipedia/commons/1/15/An_EA-18G_Growler_of_the_Electronic_Attack_Squadron_141_%28United_States_Navy%29_in_Lisbon_%285815010398%29.jpg,United States,Electronic Warfare Aircraft,EA-18G,12,RAAF Base Amberley,Yes,"ALQ-218/249 jammers for radar suppression, enabling BVR """"permission to shoot"""" for F-35A/F/A-18F; Next Generation Jammer pods IOC 2025; No. 6 Squadron at Amberley, full fleet operational supporting all RAAF air wings. F2T2EA: ALQ-218/249 Track protection; Fixes threats passively; Targets jamming; Engage supported; Assess EW.","ALQ-218/249 jammers, Next Generation Jammer, Link-16, F-35A Lightning II",aus
E-7A Wedgetail,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/A30-001_in_flight_over_the_United_States_in_April_2025.jpg/1280px-A30-001_in_flight_over_the_United_States_in_April_2025.jpg,United States,Airborne Early Warning & Control,E-7A,6,RAAF Base Williamtown,Yes,"MESA AESA radar (400 km horizon) for off-board targeting and mid-course AIM-120D updates; vital kill-chain enabler via Link-16; No. 2 Squadron at Williamtown, upgraded in 2025 for multi-domain fusion. F2T2EA: MESA AESA Find/Fix horizon; Tracks off-board; Targets AIM-120D updates; Engage directed; Assess fusion.","MESA AESA radar, Link-16, AIM-120D AMRAAM, F-35A Lightning II",aus
KC-30A MRTT,Airbus,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/KC-30A_RAAF_YBBN_20111106.jpg/1280px-KC-30A_RAAF_YBBN_20111106.jpg,United States,Tanker / Multi-role Transport,KC-30A,7,RAAF Base Amberley,Yes,"Boom/probe refueling for 2+ hour BVR extensions on F-35A/F/A-18F; 1 VIP-configured; No. 33 Squadron at Amberley, enabling sustained Pacific patrols with Queen Elizabeth-class integration. F2T2EA: Refueling extends Find/Track; Supports Engage endurance; Targets sustained; Assess patrols.","Boom/probe refueling system, F-35A Lightning II, F/A-18F Super Hornet",aus
C-17A Globemaster III,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/RAAFC17A41207.JPG/1280px-RAAFC17A41207.JPG,United States,Strategic Airlifter,C-17A,8,RAAF Base Amberley,Yes,"Rapid deployment of fighters/EW assets to forward bases for BVR surge; No. 36 Squadron at Amberley, with 2025 upgrades for austere ops in contested theaters. F2T2EA: Deploys assets for Find/Track; Enables forward Engage; Targets surge; Assess rapid.","F-35A Lightning II, EA-18G Growler, austere ops upgrades",aus
P-8A Poseidon,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/2022_Milwaukee_Air_%26_Water_Show_077_%28United_States_Navy_Boeing_P-8_Poseidon%29.jpg/1280px-2022_Milwaukee_Air_%26_Water_Show_077_%28United_States_Navy_Boeing_P-8_Poseidon%29.jpg,United States,Maritime Patrol Aircraft,P-8A,13,RAAF Base Edinburgh,Yes,"AN/APY-10 AESA radar (300+ km) and Harpoon/JSOW for over-water BVR; provides AEW-like cueing via datalinks; No. 11 Squadron at Edinburgh, 13 operational with 1 more on order for full MPA replacement. F2T2EA: AN/APY-10 Find/Fix over-water; Tracks datalinks; Targets Harpoon; Engage maritime; Assess cueing.","AN/APY-10 AESA radar, Harpoon missile, JSOW, E-7A Wedgetail",aus
C-130J Super Hercules,Lockheed Martin,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/16-5843_-_United_States_-_US_Air_Force_%28USAF%29_-_Lockheed_C-130J-30_Super_Hercules_-_VGHS.jpg/1280px-16-5843_-_United_States_-_US_Air_Force_%28USAF%29_-_Lockheed_C-130J-30_Super_Hercules_-_VGHS.jpg,United States,Tactical Airlifter,C-130J-30,12,RAAF Base Richmond,Yes,"Supports special forces insertion and radar deployment for BVR ground cueing; No. 37 Squadron at Richmond, with 20 replacements on order for enhanced ECM/survivability. F2T2EA: Deploys radars for Find; Inserts forces for Track; Targets ground cueing; Engage support; Assess ECM.","Radar deployment systems, ECM upgrades, F-35A Lightning II",aus
MQ-28A Ghost Bat,Boeing Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Boeing_MQ-28_Ghost_Bat_at_2023_Avalon_Airshow_%283%29_cropped.jpg/960px-Boeing_MQ-28_Ghost_Bat_at_2023_Avalon_Airshow_%283%29_cropped.jpg,Australia,Loyal Wingman UAV,MQ-28A,0,RAAF Base Tindal,No,Loyal wingman to F-35A for extended sensor range and missile carriage; completed capability demonstrations in 2025 with teaming to E-7A and F-35A; future production for RAAF CCA program toward 100+ units by 2030s. F2T2EA: Loyal to F-35A for extended Find; Tracks relay; Targets BVR pallets; Engage AIM-120D-3; Assess networked.,"F-35A Lightning II, AIM-120D AMRAAM, E-7A Wedgetail",aus
F-35A Lightning II,Lockheed Martin,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/First_F-35_headed_for_USAF_service.jpg/1280px-First_F-35_headed_for_USAF_service.jpg,United States,Multirole Stealth Fighter,F-35A,40,Cheongju International Airport,Yes,"CTOL 5th-gen with AN/APG-81 AESA radar (200+ km detection), sensor fusion, and internal 4-6 AIM-120D missiles for stealthy BVR; DAS/EOTS and MADL/Link-16 enable cooperative kills with E-737 cueing to 160 km envelope; 40 operational across 3 squadrons (e.g., 17th at Cheongju), with 20 more on order toward 60 total by 2028. F2T2EA: AN/APG-81 fusion Find; Tracks network; Targets AIM-120D; Engage 5th gen; Assess sensor fusion.","AN/APG-81 AESA radar, AIM-120D AMRAAM, E-737 Peace Eye",kor
Boeing F-15K Slam Eagle,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/F-15K_ROKAF_takes_off_from_Kunsan_AB_2009.jpg/1280px-F-15K_ROKAF_takes_off_from_Kunsan_AB_2009.jpg,United States,Multirole Strike Fighter,F-15K,59,Daegu International Airport,Yes,"4.5-gen heavy fighter with AN/APG-63(V)3 AESA (250 km range), thrust-vectoring, and 8-12 AIM-120D pylons for high-volume BVR; KF-2000 upgrades (2025 IOC) add conformal tanks and datalink; No. 11th Fighter Wing at Daegu, core for peninsula defense with 160 km effective range via ground radars. F2T2EA: AN/APG-63(V)3 Find/Fix; Tracks thrust-vector; Targets AIM-120D; Engage high-volume; Assess datalink.","AN/APG-63(V)3 AESA, AIM-120D AMRAAM, conformal tanks",kor
Lockheed Martin F-16 Fighting Falcon,Lockheed Martin,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/F-16_June_2008.jpg/1280px-F-16_June_2008.jpg,United States,Multirole Fighter,KF-16C/D,167,"Multiple: Jungwon Air Base, Seosan Air Base, Gunsan Air Base",Yes,"Block 52 variant with AN/APG-68(V)9 radar (150 km), fly-by-wire, and 6-8 AIM-120D loads for agile BVR; Block 70 upgrades on 40 units (2025) enhance ECCM; two-seat trainers with identical capabilities for tactics; 118 fighters +49 trainers across 5+ wings (e.g., 20th at Seosan), sustains QRA with Link-16 for networked 140 km engagements. F2T2EA: AN/APG-68(V)9 Find/Fix; Tracks ECCM; Targets AIM-120D; Engage agile; Assess Link-16.","AN/APG-68(V)9 radar, AIM-120D AMRAAM, Block 70 upgrades",kor
KAI T-50e,Korea Aerospace Industries,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/FA-50_Fighting_Eagle_First_delivery_1.jpg/1280px-FA-50_Fighting_Eagle_First_delivery_1.jpg,South Korea,Advanced Supersonic Trainer / Light Multirole Fighter,"T-50A, FA-50",132,"Multiple: Gwangju Airport, Wonju Airport, Yecheon Air Base",Yes,"Supersonic advanced trainer/light fighter with fly-by-wire, EL/M-2032 radar option (150 km), and light armament (4-6 AIM-9/AGM-65/AIM-120C-7 pylons) for lead-in fighter training, secondary CAS/BVR-lite roles, and cost-effective BVR filler; full IOC since 2005, supports conversion to F-35A/KF-16 with datalink integration; 72 trainers +60 fighters across 4 wings (e.g., 16th at Yecheon, 20th at Seosan), enables cost-effective surge training for networked 120 km envelopes via E-737 cueing. F2T2EA: EL/M-2032 Find/Fix; Tracks datalink; Targets AIM-120C-7; Engage light BVR; Assess surge.","EL/M-2032 radar, AIM-120C-7, fly-by-wire",kor
Boeing E-737 Peace Eye,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/%EA%B3%B5%EC%A4%91%EC%A1%B0%EA%B8%B0%EA%B2%BD%EB%B3%B4%ED%86%B5%EC%A0%9C%EA%B8%B0_%287445565660%29.jpg/960px-%EA%B3%B5%EC%A4%91%EC%A1%B0%EA%B8%B0%EA%B2%BD%EB%B3%B4%ED%86%B5%EC%A0%9C%EA%B8%B0_%287445565660%29.jpg,United States,Airborne Early Warning & Control,E-737,4,Gimhae Air Base,Yes,"MESA AESA radar (400 km horizon) for off-board targeting and mid-course AIM-120D updates; vital kill-chain enabler via KFDL/Link-16; 7th Airlift Wing at Gimpo, full IOC 2025 for persistent peninsula coverage. F2T2EA: MESA AESA Find/Fix horizon; Tracks off-board; Targets AIM-120D updates; Engage directed; Assess KFDL.","MESA AESA radar, Link-16, AIM-120D AMRAAM",kor
Airbus A330 MRTT,Airbus,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/KC-30A_RAAF_YBBN_20111106.jpg/1280px-KC-30A_RAAF_YBBN_20111106.jpg,United States,Aerial Refueling / Transport,KC-330,4,Gimhae Air Base,Yes,"MRTT with boom/probe refueling for 2+ hour BVR extensions on F-35A/F-15K; 17th Tactical Airlift Wing at Cheongju, enables sustained ops in Korean theater with USFK integration. F2T2EA: Refueling extends Track/Engage; Sustains theater; Targets 2+ hour; Assess boom/probe.","Boom/probe refueling, F-35A Lightning II, F-15K Slam Eagle",kor
KF-21 Boramae,Korea Aerospace Industries,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/A_South_Korean_Air_Force_KF-21%2C_developed_by_Korea_Aerospace_Industries%2C_performs_an_aerial_demonstration_at_the_Aerospace_and_Defense_Exhibition_in_Seoul%2C_South_Korea%2C_October_21%2C_2023.jpg/1280px-A_South_Korean_Air_Force_KF-21%2C_developed_by_Korea_Aerospace_Industries%2C_performs_an_aerial_demonstration_at_the_Aerospace_and_Defense_Exhibition_in_Seoul%2C_South_Korea%2C_October_21%2C_2023.jpg,South Korea,Multirole Fighter,KF-21 Block I/II,0,Sacheon Airport,Yes,"4.5-gen fighter with local AESA radar, internal/external BVR missiles (AIM-120C/Meteor), and datalink for networked ops; Block I/II upgrades enhance seekers and internal carriage; IOC Block I 2026, with 20 prototypes tested by 2025; wing-man to F-35A. F2T2EA: Local AESA Find; Tracks pylons/Meteor; Targets AIM-120C; Engage Block I/II; Assess upgrade path.","KF-21 Boramae AESA radar, AIM-120C-7, Meteor-K",kor
Low-Observable UCAV (LO-UCAV) CCA,Korea Aerospace Industries,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,South Korea,Collaborative Combat Aircraft,LO-UCAV,0,N/A (Development),No,Low-observable CCA for KF-21 wing-man roles with internal Meteor/AIM-120 bay; development phase with first flight 2025. F2T2EA: LO Find internal; Tracks to KF-21; Targets Meteor/AIM-120; Engage wing-man; Assess CCA.,"KF-21 Boramae, Meteor long-range BVR missile, K-SAAM",kor
K-SAAM,LIG Nex1,https://upload.wikimedia.org/wikipedia/commons/6/6e/K-SAAM_mockup_at_IDEX_2015.jpg,South Korea,Air-to-Air Missile Seeker,K-SAAM,0,,No,Indigenous seeker for air-launched SAM/BVR missiles; active radar homing for KF-21 integration. F2T2EA: Seeker for Engage post-Track; Active radar homing; Targets air threats; Assess local tech.,"KF-21 Boramae AESA radar, Meteor long-range BVR missile, LIG Nex1 datalink",kor
KF-21 Boramae AESA Radar,LIG Nex1,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,South Korea,Airborne AESA Fire Control Radar,KF-21 AESA,0,,No,Licence-built AESA for KF-21 with multi-target tracking; backend by LIG Nex1 for BVR enhancement. F2T2EA: Licence AESA Find/Fix; Tracks K-SAAM; Targets integration; Engage seekers; Assess backend.,"K-SAAM, AIM-120C-7, Meteor-K",kor
Meteor-K,MBDA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,South Korea,Long-Range BVR Missile,Meteor-K,0,,No,Korean variant of Meteor ramjet BVR missile for KF-21; extended range with local integration. F2T2EA: Air-launched Engage after Find by KF-21; Ramjet propulsion; Targets long-range; Assess Korean variant.,"Meteor long-range BVR missile, KF-21 Boramae AESA radar, AAM-4B active radar BVR missile",kor
Dassault Rafale,Dassault Aviation,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Dassault_Rafale_B.jpg/1280px-Dassault_Rafale_B.jpg,France,Multirole Fighter,Rafale B/C/M,185,"Saint-Dizier Air Base, Mont-de-Marsan Air Base, Landivisiau Air Base",Yes,"Twin-engine 4.5-gen with RBE2-AA AESA radar (200+ km detection), 4-6 internal/external Meteor/MICA-NG loads, and SPECTRA EW for fire-and-forget BVR; F4 upgrades (2025 IOC) add AI targeting and drone integration; backbone of Air and Space Force squadrons, enabling 150 km networked envelopes via E-3F cueing; total fleet including Navy approaching 225. F2T2EA: RBE2-AA Find/Fix; SPECTRA Track protection; Targets via datalink; Engage Meteor/MICA; Assess post-strike.","Meteor long-range BVR missile, RBE2-AA AESA radar, M88 engine",fra
Dassault Mirage 2000,Dassault Aviation,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Dassault_Mirage_2000C.jpg/1280px-Dassault_Mirage_2000C.jpg,France,Multirole Fighter,Mirage 2000-5F/D,60,Luxeuil-Saint Sauveur Air Base,Yes,"Upgraded delta-wing with RDY-2 radar (150 km), 4-6 MICA missiles, and mid-life updates for datalink fusion; 50 modernized by late 2025, with donations to Ukraine reducing active fleet; sustains QRA/BVR patrols integrated with Ground Master 400 radars, bridging to full Rafale transition. F2T2EA: RDY-2 Find/Fix; Tracks datalink; Targets MICA; Engage SEAD/BVR; Assess updates.","RDY-2 radar, MICA missile, datalink fusion",fra
Boeing E-3F Sentry,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/French_E-3F_Airborne_Warning_and_Control_System_aircraft_takes_off_from_Avord%2C_France.jpg/1280px-French_E-3F_Airborne_Warning_and_Control_System_aircraft_takes_off_from_Avord%2C_France.jpg,United States,Airborne Early Warning & Control,E-3F,4,Avord Air Base,Yes,"AWACS with AN/APY-2 radar (400 km horizon) for off-board targeting and mid-course Meteor updates; Block 40/45 upgrades complete (CFM56 engines); CEAM at Avord AB, critical for 150 km BVR kill chains until AFSC replacement in 2030s. F2T2EA: AN/APY-2 Find/Fix horizon; Tracks off-board; Targets Meteor updates; Engage directed; Assess AWACS.","AN/APY-2 radar, Link-16, CFM56 engines",fra
Airbus A330 MRTT Phénix,Airbus France,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Airbus_A330_MRTT_in_refueling_formation_at_ILA_Berlin_2022.jpg/1280px-Airbus_A330_MRTT_in_refueling_formation_at_ILA_Berlin_2022.jpg,France,Aerial Refueling / Command & Control,A330 Phénix,12,Istres-Le Tubé Air Base,Yes,"MRTT with boom/probe refueling for 3+ hour BVR extensions on Rafale/Mirage; 3 more conversions in 2025 toward 15 total; FR at Istres, enabling power projection (e.g., Pégase 2025 exercise with NATO allies); replaces KC-135 fleet. F2T2EA: Refueling extends Find/Track; Supports Engage endurance; Targets sustained; Assess projection.","Boom/probe refueling, Rafale, Mirage 2000",fra
Airbus A400M,Airbus France,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Airbus_A400M_Atlas.jpg/1280px-Airbus_A400M_Atlas.jpg,France,Tactical Airlifter / Refueling,A400M,32,Orléans-Bricy Air Base,Yes,"Strategic/tactical transport with refueling pods for surge deployments of fighters/EW assets; 8 delivered in 2025, with 4 more ordered toward 41 total; ET 1/61 at Orleans, supports forward basing for sustained BVR in Indo-Pacific; expanding to EW/long-range strike roles. F2T2EA: Deploys for Find; Surge Engage; Targets basing; Assess tactical.","Refueling pods, Rafale, EW assets",fra
Lockheed C-130J,Lockheed Martin,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/720th_Special_Tactics_Group_airmen_jump_20071003.jpg/1280px-720th_Special_Tactics_Group_airmen_jump_20071003.jpg,United States,Tactical Airlifter,C-130J-30,2,Orléans-Bricy Air Base,Yes,"Upgraded Hercules with modern avionics for rapid radar/fighter deployment and ISR cueing; 2 operational post-2024 deliveries (2 more on order); ET 2/61 at Orleans, enhances ground-radar gap-filling for BVR networks. F2T2EA: Deploys radars Find; Inserts Track; Targets cueing; Engage support; Assess avionics.","Modern avionics, ISR systems, Rafale",fra
Remote Carrier CCA,Airbus France,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/FCAS_remote_carriers_mock-up_at_Paris_Air_Show_2019.jpg/1280px-FCAS_remote_carriers_mock-up_at_Paris_Air_Show_2019.jpg,France,Collaborative Combat Aircraft,Remote Carrier family,0,Istres-Le Tubé Air Base,No,FCAS swarm drones for sensor extension and loyal wingman roles; development ongoing with demonstrator flight expected 2028-2029; integrates with Rafale F5 and NGF via combat cloud for networked BVR. F2T2EA: Family for swarm Find; Tracks networked to Rafale; Targets FC/ASW; Engage Meteor internal; Assess AI autonomy.,"Rafale F4, Meteor long-range BVR missile, RBE2-AA AESA radar",fra
